date,strategy,sector,weight
2024-01-31,inverse_forecast_vol,XBANK,0.4244777054851113
2024-01-31,inverse_forecast_vol,XUSIN,0.5755222945148886
2024-02-29,inverse_forecast_vol,XBANK,0.3965393097785591
2024-02-29,inverse_forecast_vol,XUSIN,0.6034606902214409
2024-03-31,inverse_forecast_vol,XBANK,0.39654329695912033
2024-03-31,inverse_forecast_vol,XUSIN,0.6034567030408796
2024-04-30,inverse_forecast_vol,XBANK,0.38424516034826267
2024-04-30,inverse_forecast_vol,XUSIN,0.6157548396517373
2024-05-31,inverse_forecast_vol,XBANK,0.4250736633014969
2024-05-31,inverse_forecast_vol,XUSIN,0.5749263366985031
2024-06-30,inverse_forecast_vol,XBANK,0.34581327471108686
2024-06-30,inverse_forecast_vol,XUSIN,0.6541867252889131
2024-07-31,inverse_forecast_vol,XBANK,0.38424516034826267
2024-07-31,inverse_forecast_vol,XUSIN,0.6157548396517373
2024-08-31,inverse_forecast_vol,XBANK,0.35524760729883115
2024-08-31,inverse_forecast_vol,XUSIN,0.6447523927011689
2024-09-30,inverse_forecast_vol,XBANK,0.4244777054851113
2024-09-30,inverse_forecast_vol,XUSIN,0.5755222945148886
2024-10-31,inverse_forecast_vol,XBANK,0.38424516034826267
2024-10-31,inverse_forecast_vol,XUSIN,0.6157548396517373
2024-11-30,inverse_forecast_vol,XBANK,0.3972201547171146
2024-11-30,inverse_forecast_vol,XUSIN,0.6027798452828854
2024-12-31,inverse_forecast_vol,XBANK,0.3866660273364623
2024-12-31,inverse_forecast_vol,XUSIN,0.6133339726635376
2024-01-31,equal_weight,XBANK,0.5
2024-01-31,equal_weight,XUSIN,0.5
2024-02-29,equal_weight,XBANK,0.5
2024-02-29,equal_weight,XUSIN,0.5
2024-03-31,equal_weight,XBANK,0.5
2024-03-31,equal_weight,XUSIN,0.5
2024-04-30,equal_weight,XBANK,0.5
2024-04-30,equal_weight,XUSIN,0.5
2024-05-31,equal_weight,XBANK,0.5
2024-05-31,equal_weight,XUSIN,0.5
2024-06-30,equal_weight,XBANK,0.5
2024-06-30,equal_weight,XUSIN,0.5
2024-07-31,equal_weight,XBANK,0.5
2024-07-31,equal_weight,XUSIN,0.5
2024-08-31,equal_weight,XBANK,0.5
2024-08-31,equal_weight,XUSIN,0.5
2024-09-30,equal_weight,XBANK,0.5
2024-09-30,equal_weight,XUSIN,0.5
2024-10-31,equal_weight,XBANK,0.5
2024-10-31,equal_weight,XUSIN,0.5
2024-11-30,equal_weight,XBANK,0.5
2024-11-30,equal_weight,XUSIN,0.5
2024-12-31,equal_weight,XBANK,0.5
2024-12-31,equal_weight,XUSIN,0.5
